copy_id,book_id,copy_number,location,rack,shelf,status
CP00265,BK009,copy25,L1,L1R02,L1R02S3,Available
CP00266,BK009,copy26,L1,L1R02,L1R02S3,Available
CP00267,BK009,copy27,L1,L1R02,L1R02S3,Available
CP00268,BK009,copy28,L1,L1R02,L1R02S3,Available
CP00269,BK009,copy29,L1,L1R02,L1R02S3,Available
CP00270,BK009,copy30,L1,L1R02,L1R02S3,Available
CP00271,BK010,copy1,L1,L1R02,L1R02S4,Available
CP00272,BK010,copy2,L1,L1R02,L1R02S4,Available
CP00273,BK010,copy3,L1,L1R02,L1R02S4,Available
CP00274,BK010,copy4,L1,L1R02,L1R02S4,Available
CP00275,BK010,copy5,L1,L1R02,L1R02S4,Available
CP00276,BK010,copy6,L1,L1R02,L1R02S4,Available
CP00277,BK010,copy7,L1,L1R02,L1R02S4,Available
CP00278,BK010,copy8,L1,L1R02,L1R02S4,Available
CP00279,BK010,copy9,L1,L1R02,L1R02S4,Available
CP00280,BK010,copy10,L1,L1R02,L1R02S4,Available
CP00281,BK010,copy11,L1,L1R02,L1R02S4,Available
CP00282,BK010,copy12,L1,L1R02,L1R02S4,Available
CP00283,BK010,copy13,L1,L1R02,L1R02S4,Available
CP00284,BK010,copy14,L1,L1R02,L1R02S4,Available
CP00285,BK010,copy15,L1,L1R02,L1R02S4,Available
CP00286,BK010,copy16,L1,L1R02,L1R02S4,Available
CP00287,BK010,copy17,L1,L1R02,L1R02S4,Available
CP00288,BK010,copy18,L1,L1R02,L1R02S4,Available
CP00289,BK010,copy19,L1,L1R02,L1R02S4,Available
CP00290,BK010,copy20,L1,L1R02,L1R02S4,Available
CP00291,BK010,copy21,L1,L1R02,L1R02S4,Available
CP00292,BK010,copy22,L1,L1R02,L1R02S4,Available
CP00293,BK010,copy23,L1,L1R02,L1R02S4,Available
CP00294,BK010,copy24,L1,L1R02,L1R02S4,Available
CP00295,BK010,copy25,L1,L1R02,L1R02S4,Available
CP00296,BK010,copy26,L1,L1R02,L1R02S4,Available
CP00297,BK010,copy27,L1,L1R02,L1R02S4,Available
CP00298,BK010,copy28,L1,L1R02,L1R02S4,Available
CP00299,BK010,copy29,L1,L1R02,L1R02S4,Available
CP00300,BK010,copy30,L1,L1R02,L1R02S4,Available
CP00301,BK011,copy1,L1,L1R02,L1R02S5,Available
CP00302,BK011,copy2,L1,L1R02,L1R02S5,Available
CP00303,BK011,copy3,L1,L1R02,L1R02S5,Available
CP00304,BK011,copy4,L1,L1R02,L1R02S5,Available
CP00305,BK011,copy5,L1,L1R02,L1R02S5,Available
CP00306,BK011,copy6,L1,L1R02,L1R02S5,Available
CP00307,BK011,copy7,L1,L1R02,L1R02S5,Available
CP00308,BK011,copy8,L1,L1R02,L1R02S5,Available
CP00309,BK011,copy9,L1,L1R02,L1R02S5,Available
CP00310,BK011,copy10,L1,L1R02,L1R02S5,Available
CP00311,BK011,copy11,L1,L1R02,L1R02S5,Available
CP00312,BK011,copy12,L1,L1R02,L1R02S5,Available
CP00313,BK011,copy13,L1,L1R02,L1R02S5,Available
CP00314,BK011,copy14,L1,L1R02,L1R02S5,Available
CP00315,BK011,copy15,L1,L1R02,L1R02S5,Available
CP00316,BK011,copy16,L1,L1R02,L1R02S5,Available
CP00317,BK011,copy17,L1,L1R02,L1R02S5,Available
CP00318,BK011,copy18,L1,L1R02,L1R02S5,Available
CP00319,BK011,copy19,L1,L1R02,L1R02S5,Available
CP00320,BK011,copy20,L1,L1R02,L1R02S5,Available
CP00321,BK011,copy21,L1,L1R02,L1R02S5,Available
CP00322,BK011,copy22,L1,L1R02,L1R02S5,Available
CP00323,BK011,copy23,L1,L1R02,L1R02S5,Available
CP00324,BK011,copy24,L1,L1R02,L1R02S5,Available
CP00325,BK011,copy25,L1,L1R02,L1R02S5,Available
CP00326,BK011,copy26,L1,L1R02,L1R02S5,Available
CP00327,BK011,copy27,L1,L1R02,L1R02S5,Available
CP00328,BK011,copy28,L1,L1R02,L1R02S5,Available
CP00329,BK011,copy29,L1,L1R02,L1R02S5,Available
CP00330,BK011,copy30,L1,L1R02,L1R02S5,Available
CP00331,BK012,copy1,L1,L1R02,L1R02S6,Available
CP00332,BK012,copy2,L1,L1R02,L1R02S6,Available
CP00333,BK012,copy3,L1,L1R02,L1R02S6,Available
CP00334,BK012,copy4,L1,L1R02,L1R02S6,Available
CP00335,BK012,copy5,L1,L1R02,L1R02S6,Available
CP00336,BK012,copy6,L1,L1R02,L1R02S6,Available
CP00337,BK012,copy7,L1,L1R02,L1R02S6,Available
CP00338,BK012,copy8,L1,L1R02,L1R02S6,Available
CP00339,BK012,copy9,L1,L1R02,L1R02S6,Available
CP00340,BK012,copy10,L1,L1R02,L1R02S6,Available
CP00341,BK012,copy11,L1,L1R02,L1R02S6,Available
CP00342,BK012,copy12,L1,L1R02,L1R02S6,Available
CP00343,BK012,copy13,L1,L1R02,L1R02S6,Available
CP00344,BK012,copy14,L1,L1R02,L1R02S6,Available
CP00345,BK012,copy15,L1,L1R02,L1R02S6,Available
CP00346,BK012,copy16,L1,L1R02,L1R02S6,Available
CP00347,BK012,copy17,L1,L1R02,L1R02S6,Available
CP00348,BK012,copy18,L1,L1R02,L1R02S6,Available
CP00349,BK012,copy19,L1,L1R02,L1R02S6,Available
CP00350,BK012,copy20,L1,L1R02,L1R02S6,Available
CP00351,BK012,copy21,L1,L1R02,L1R02S6,Available
CP00352,BK012,copy22,L1,L1R02,L1R02S6,Available
CP00353,BK012,copy23,L1,L1R02,L1R02S6,Available
CP00354,BK012,copy24,L1,L1R02,L1R02S6,Available
CP00355,BK012,copy25,L1,L1R02,L1R02S6,Available
CP00356,BK012,copy26,L1,L1R02,L1R02S6,Available
CP00357,BK012,copy27,L1,L1R02,L1R02S6,Available
CP00358,BK012,copy28,L1,L1R02,L1R02S6,Available
CP00359,BK012,copy29,L1,L1R02,L1R02S6,Available
CP00360,BK012,copy30,L1,L1R02,L1R02S6,Available
CP00361,BK013,copy1,L1,L1R03,L1R03S1,Available
CP00362,BK013,copy2,L1,L1R03,L1R03S1,Available
CP00363,BK013,copy3,L1,L1R03,L1R03S1,Available
CP00364,BK013,copy4,L1,L1R03,L1R03S1,Available
CP00365,BK013,copy5,L1,L1R03,L1R03S1,Available
CP00366,BK013,copy6,L1,L1R03,L1R03S1,Available
CP00367,BK013,copy7,L1,L1R03,L1R03S1,Available
CP00368,BK013,copy8,L1,L1R03,L1R03S1,Available
CP00369,BK013,copy9,L1,L1R03,L1R03S1,Available
CP00370,BK013,copy10,L1,L1R03,L1R03S1,Available
CP00371,BK013,copy11,L1,L1R03,L1R03S1,Available
CP00372,BK013,copy12,L1,L1R03,L1R03S1,Available
CP00373,BK013,copy13,L1,L1R03,L1R03S1,Available
CP00374,BK013,copy14,L1,L1R03,L1R03S1,Available
CP00375,BK013,copy15,L1,L1R03,L1R03S1,Available
CP00376,BK013,copy16,L1,L1R03,L1R03S1,Available
CP00377,BK013,copy17,L1,L1R03,L1R03S1,Available
CP00378,BK013,copy18,L1,L1R03,L1R03S1,Available
CP00379,BK013,copy19,L1,L1R03,L1R03S1,Available
CP00380,BK013,copy20,L1,L1R03,L1R03S1,Available
CP00381,BK013,copy21,L1,L1R03,L1R03S1,Available
CP00382,BK013,copy22,L1,L1R03,L1R03S1,Available
CP00383,BK013,copy23,L1,L1R03,L1R03S1,Available
CP00384,BK013,copy24,L1,L1R03,L1R03S1,Available
CP00385,BK013,copy25,L1,L1R03,L1R03S1,Available
CP00386,BK013,copy26,L1,L1R03,L1R03S1,Available
CP00387,BK013,copy27,L1,L1R03,L1R03S1,Available
CP00388,BK013,copy28,L1,L1R03,L1R03S1,Available
CP00389,BK013,copy29,L1,L1R03,L1R03S1,Available
CP00390,BK013,copy30,L1,L1R03,L1R03S1,Available
CP00391,BK014,copy1,L1,L1R03,L1R03S2,Available
CP00392,BK014,copy2,L1,L1R03,L1R03S2,Available
CP00393,BK014,copy3,L1,L1R03,L1R03S2,Available
CP00394,BK014,copy4,L1,L1R03,L1R03S2,Available
CP00395,BK014,copy5,L1,L1R03,L1R03S2,Available
CP00396,BK014,copy6,L1,L1R03,L1R03S2,Available
CP00397,BK014,copy7,L1,L1R03,L1R03S2,Available
CP00398,BK014,copy8,L1,L1R03,L1R03S2,Available
CP00399,BK014,copy9,L1,L1R03,L1R03S2,Available
CP00400,BK014,copy10,L1,L1R03,L1R03S2,Available
CP00401,BK014,copy11,L1,L1R03,L1R03S2,Available
CP00402,BK014,copy12,L1,L1R03,L1R03S2,Available
CP00403,BK014,copy13,L1,L1R03,L1R03S2,Available
CP00404,BK014,copy14,L1,L1R03,L1R03S2,Available
CP00405,BK014,copy15,L1,L1R03,L1R03S2,Available
CP00406,BK014,copy16,L1,L1R03,L1R03S2,Available
CP00407,BK014,copy17,L1,L1R03,L1R03S2,Available
CP00408,BK014,copy18,L1,L1R03,L1R03S2,Available
CP00409,BK014,copy19,L1,L1R03,L1R03S2,Available
CP00410,BK014,copy20,L1,L1R03,L1R03S2,Available
CP00411,BK014,copy21,L1,L1R03,L1R03S2,Available
CP00412,BK014,copy22,L1,L1R03,L1R03S2,Available
CP00413,BK014,copy23,L1,L1R03,L1R03S2,Available
CP00414,BK014,copy24,L1,L1R03,L1R03S2,Available
CP00415,BK014,copy25,L1,L1R03,L1R03S2,Available
CP00416,BK014,copy26,L1,L1R03,L1R03S2,Available
CP00417,BK014,copy27,L1,L1R03,L1R03S2,Available
CP00418,BK014,copy28,L1,L1R03,L1R03S2,Available
CP00419,BK014,copy29,L1,L1R03,L1R03S2,Available
CP00420,BK014,copy30,L1,L1R03,L1R03S2,Available
CP00421,BK015,copy1,L1,L1R03,L1R03S3,Available
CP00422,BK015,copy2,L1,L1R03,L1R03S3,Available
CP00423,BK015,copy3,L1,L1R03,L1R03S3,Available
CP00424,BK015,copy4,L1,L1R03,L1R03S3,Available
CP00425,BK015,copy5,L1,L1R03,L1R03S3,Available
CP00426,BK015,copy6,L1,L1R03,L1R03S3,Available
CP00427,BK015,copy7,L1,L1R03,L1R03S3,Available
CP00428,BK015,copy8,L1,L1R03,L1R03S3,Available
CP00429,BK015,copy9,L1,L1R03,L1R03S3,Available
CP00430,BK015,copy10,L1,L1R03,L1R03S3,Available
CP00431,BK015,copy11,L1,L1R03,L1R03S3,Available
CP00432,BK015,copy12,L1,L1R03,L1R03S3,Available
CP00433,BK015,copy13,L1,L1R03,L1R03S3,Available
CP00434,BK015,copy14,L1,L1R03,L1R03S3,Available
CP00435,BK015,copy15,L1,L1R03,L1R03S3,Available
CP00436,BK015,copy16,L1,L1R03,L1R03S3,Available
CP00437,BK015,copy17,L1,L1R03,L1R03S3,Available
CP00438,BK015,copy18,L1,L1R03,L1R03S3,Available
CP00439,BK015,copy19,L1,L1R03,L1R03S3,Available
CP00440,BK015,copy20,L1,L1R03,L1R03S3,Available
CP00441,BK015,copy21,L1,L1R03,L1R03S3,Available
CP00442,BK015,copy22,L1,L1R03,L1R03S3,Available
CP00443,BK015,copy23,L1,L1R03,L1R03S3,Available
CP00444,BK015,copy24,L1,L1R03,L1R03S3,Available
CP00445,BK015,copy25,L1,L1R03,L1R03S3,Available
CP00446,BK015,copy26,L1,L1R03,L1R03S3,Available
CP00447,BK015,copy27,L1,L1R03,L1R03S3,Available
CP00448,BK015,copy28,L1,L1R03,L1R03S3,Available
CP00449,BK015,copy29,L1,L1R03,L1R03S3,Available
CP00450,BK015,copy30,L1,L1R03,L1R03S3,Available
